"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Total","11195659","13166782","13834692","9873871","Alabama"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Alabama"
"Assault Offenses","2737786","3187575","3187575","2918676","Alabama"
"Homicide Offenses","17189","18785","18786","19274","Alabama"
"Human Trafficking Offenses","2234","2691","2691","2428","Alabama"
"Kidnapping/Abduction","39098","43083","43083","43012","Alabama"
"Sex Offenses","192147","204055","204055","186462","Alabama"
"Crimes Against Property","7849624","7849624","8517495","4524653","Alabama"
"Arson","30166","30166","36637","21249","Alabama"
"Bribery","652","652","695","656","Alabama"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Alabama"
"Counterfeiting/Forgery","147573","147573","161913","109595","Alabama"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Alabama"
"Embezzlement","32481","32481","34284","32730","Alabama"
"Extortion/Blackmail","20298","20298","20897","9451","Alabama"
"Fraud Offenses","843491","843491","915256","428944","Alabama"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Alabama"
"Motor Vehicle Theft","721157","721157","753345","346525","Alabama"
"Robbery","149862","149862","197705","195201","Alabama"
"Stolen Property Offenses","115445","115445","135134","134677","Alabama"
"Crimes Against Society","1860969","1860969","1861007","2179366","Alabama"
"Animal Cruelty","20512","20512","20513","18864","Alabama"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Alabama"
"Gambling Offenses","2121","2121","2121","3215","Alabama"
"Pornography/Obscene Material","39871","39871","39872","32925","Alabama"
"Prostitution Offenses","13007","13007","13007","14945","Alabama"
"Weapon Law Violations","325998","325998","326022","353629","Alabama"
"Total","11195659","13166782","13834692","9873871","Alaska"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Alaska"
"Assault Offenses","2737786","3187575","3187575","2918676","Alaska"
"Homicide Offenses","17189","18785","18786","19274","Alaska"
"Human Trafficking Offenses","2234","2691","2691","2428","Alaska"
"Kidnapping/Abduction","39098","43083","43083","43012","Alaska"
"Sex Offenses","192147","204055","204055","186462","Alaska"
"Crimes Against Property","7849624","7849624","8517495","4524653","Alaska"
"Arson","30166","30166","36637","21249","Alaska"
"Bribery","652","652","695","656","Alaska"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Alaska"
"Counterfeiting/Forgery","147573","147573","161913","109595","Alaska"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Alaska"
"Embezzlement","32481","32481","34284","32730","Alaska"
"Extortion/Blackmail","20298","20298","20897","9451","Alaska"
"Fraud Offenses","843491","843491","915256","428944","Alaska"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Alaska"
"Motor Vehicle Theft","721157","721157","753345","346525","Alaska"
"Robbery","149862","149862","197705","195201","Alaska"
"Stolen Property Offenses","115445","115445","135134","134677","Alaska"
"Crimes Against Society","1860969","1860969","1861007","2179366","Alaska"
"Animal Cruelty","20512","20512","20513","18864","Alaska"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Alaska"
"Gambling Offenses","2121","2121","2121","3215","Alaska"
