Offense Category,Total Offenders,Male,Female,Unknown Sex
Total,9873871,6365860,2483772,1024239
Crimes Against Persons,3169852,2214550,883924,71378
Assault Offenses,2918676,1991682,861591,65403
Homicide Offenses,19274,15361,2410,1503
Human Trafficking Offenses,2428,1839,471,118
Kidnapping/Abduction,43012,35177,7134,701
Sex Offenses,186462,170491,12318,3653
Crimes Against Property,4524653,2553649,1045109,925895
Arson,21249,13810,4089,3350
Bribery,656,454,184,18
Burglary/Breaking & Entering,407560,251319,59807,96434
Counterfeiting/Forgery,109595,59679,33700,16216
Destruction/Damage/Vandalism,859080,516499,175624,166957
Embezzlement,32730,17020,14893,817
Extortion/Blackmail,9451,3881,2540,3030
Fraud Offenses,428944,211484,123548,93912
Larceny/Theft Offenses,1978985,1038467,523322,417196
Motor Vehicle Theft,346525,187060,54255,105210
Robbery,195201,154388,24055,16758
Stolen Property Offenses,134677,99588,29092,5997
Crimes Against Society,2179366,1597661,554739,26966
Animal Cruelty,18864,10916,6820,1128
Drug/Narcotic Offenses,1755788,1259914,486758,9116
Gambling Offenses,3215,2303,832,80
Pornography/Obscene Material,32925,23539,6733,2653
Prostitution Offenses,14945,7448,7390,107
Weapon Law Violations,353629,293541,46206,13882
