"Offense category","Total offenses","Drugs/Narcotics","Percentage of Offense category","Alcohol","Percentage of Offense Category","Estado"
"Total","13166782","902482","6.90","450459","3.40","Alabama"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Alabama"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Alabama"
"Homicide Offenses","18785","894","4.80","1054","5.60","Alabama"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Alabama"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Alabama"
"Sex Offenses","204055","6819","3.30","13989","6.90","Alabama"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Alabama"
"Arson","30166","833","2.80","713","2.40","Alabama"
"Bribery","652","41","6.30","85","13.00","Alabama"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Alabama"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Alabama"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Alabama"
"Embezzlement","32481","256","0.80","90","0.30","Alabama"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Alabama"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Alabama"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Alabama"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Alabama"
"Robbery","149862","2725","1.80","2567","1.70","Alabama"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Alabama"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Alabama"
"Animal Cruelty","20512","220","1.10","361","1.80","Alabama"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Alabama"
"Gambling Offenses","2121","26","1.20","19","0.90","Alabama"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Alabama"
"Prostitution Offenses","13007","527","4.10","132","1.00","Alabama"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Alabama"
"Total","13166782","902482","6.90","450459","3.40","Alaska"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Alaska"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Alaska"
"Homicide Offenses","18785","894","4.80","1054","5.60","Alaska"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Alaska"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Alaska"
"Sex Offenses","204055","6819","3.30","13989","6.90","Alaska"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Alaska"
"Arson","30166","833","2.80","713","2.40","Alaska"
"Bribery","652","41","6.30","85","13.00","Alaska"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Alaska"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Alaska"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Alaska"
"Embezzlement","32481","256","0.80","90","0.30","Alaska"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Alaska"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Alaska"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Alaska"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Alaska"
"Robbery","149862","2725","1.80","2567","1.70","Alaska"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Alaska"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Alaska"
"Animal Cruelty","20512","220","1.10","361","1.80","Alaska"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Alaska"
"Gambling Offenses","2121","26","1.20","19","0.90","Alaska"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Alaska"
"Prostitution Offenses","13007","527","4.10","132","1.00","Alaska"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Alaska"
"Total","13166782","902482","6.90","450459","3.40","Arizona"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Arizona"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Arizona"
"Homicide Offenses","18785","894","4.80","1054","5.60","Arizona"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Arizona"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Arizona"
"Sex Offenses","204055","6819","3.30","13989","6.90","Arizona"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Arizona"
"Arson","30166","833","2.80","713","2.40","Arizona"
"Bribery","652","41","6.30","85","13.00","Arizona"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Arizona"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Arizona"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Arizona"
"Embezzlement","32481","256","0.80","90","0.30","Arizona"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Arizona"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Arizona"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Arizona"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Arizona"
"Robbery","149862","2725","1.80","2567","1.70","Arizona"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Arizona"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Arizona"
"Animal Cruelty","20512","220","1.10","361","1.80","Arizona"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Arizona"
"Gambling Offenses","2121","26","1.20","19","0.90","Arizona"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Arizona"
"Prostitution Offenses","13007","527","4.10","132","1.00","Arizona"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Arizona"
"Total","13166782","902482","6.90","450459","3.40","Arkansas"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Arkansas"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Arkansas"
"Homicide Offenses","18785","894","4.80","1054","5.60","Arkansas"
