State,Number of Participating Agencies,Population Covered,Total Offenses,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations
Total,13293,256187698,1860969,20512,1459460,2121,39871,13007,325998
Alabama,404,4519862,49895,607,43361,25,668,77,5157
Alaska,32,444412,1864,27,1325,1,39,15,457
Arizona,89,4571670,45976,510,39724,1,1039,369,4333
Arkansas,294,2986257,34483,81,30507,13,534,68,3280
California,559,20450698,144161,645,117419,59,1654,871,23513
Colorado,234,5825547,37505,760,27236,4,1204,239,8062
Connecticut,107,3626205,10515,127,6182,9,294,38,3865
Delaware,63,1018396,13056,1370,9205,28,89,28,2336
District of Columbia,2,671803,5671,16,1643,5,45,14,3948
Florida,73,7025392,30654,255,23805,12,318,362,5902
Georgia,454,9959008,56104,1058,45111,28,1299,336,8272
Hawaii,3,1233842,4227,93,3213,209,82,5,625
Idaho,111,1938529,28238,94,26490,1,351,34,1268
Illinois,520,10010597,34093,221,21727,3,1096,187,10859
Indiana,209,5603871,48145,563,40632,204,845,94,5807
Iowa,228,2968878,23165,218,20574,9,343,43,1978
Kansas,327,2675833,32479,1,28843,14,543,143,2935
Kentucky,431,4509571,41719,288,37762,6,722,45,2896
Louisiana,148,3428406,44683,410,35014,41,873,143,8202
Maine,131,1384006,4277,48,3688,3,151,38,349
Maryland,95,4898180,26943,506,21399,1,602,113,4322
Massachusetts,384,6947897,14347,193,8553,61,945,268,4327
Michigan,603,9616858,43762,897,25763,35,1248,625,15194
Minnesota,408,5711489,35639,338,27348,13,1060,114,6766
Mississippi,152,1791767,18502,235,16091,1,168,11,1996
Missouri,498,6077481,62643,477,50732,147,892,175,10220
Montana,110,1121153,5425,143,4924,7,26,23,302
Nebraska,261,1459853,15949,85,14244,0,295,25,1300
Nevada,55,3162409,28333,298,19292,82,406,2370,5885
New Hampshire,213,1378928,7135,233,5380,4,809,20,689
New Jersey,309,5630105,12392,114,8103,7,164,175,3829
New Mexico,95,1813146,13025,108,8057,0,224,43,4593
New York,149,4587827,9474,2,5110,13,289,27,4033
North Carolina,407,10235931,112904,661,88992,102,2164,212,20773
North Dakota,111,779261,13226,142,12050,1,307,47,679
Ohio,637,10916774,73808,382,58536,13,1731,513,12633
Oklahoma,461,4019800,34764,523,27576,3,1235,223,5204
Oregon,212,4079739,13352,452,6507,2,533,203,5655
Pennsylvania,132,5229066,34259,437,23348,115,1150,297,8912
Rhode Island,48,1092311,3167,61,1966,8,254,6,872
South Carolina,462,5271145,61494,479,48875,57,1136,107,10840
South Dakota,107,830169,11267,48,9973,6,247,43,950
Tennessee,399,7047629,98354,635,80538,58,1086,505,15532
Texas,1063,29643845,227626,3426,179836,642,5123,2723,35876
Utah,135,3325856,45967,135,40761,6,622,90,4353
Vermont,86,647064,1281,60,1056,1,70,4,90
Virginia,410,8682813,51427,1247,32421,34,2252,349,15124
Washington,246,7730372,17058,350,9162,20,622,220,6684
West Virginia,214,1541815,10509,30,8814,0,497,51,1117
Wisconsin,362,5610301,62143,334,47086,7,1392,264,13060
Wyoming,50,453931,3884,89,3506,0,133,12,144
