Time of Day,Total Incidents,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations
Total,1860969,20512,1459460,2121,39871,13007,325998
Total A.M. Hours,733794,7906,572040,680,18570,3994,130604
Midnight–12:59 a.m.,158929,1346,121412,91,5768,1171,29141
1 a.m.–1:59 a.m.,87137,192,68528,47,551,553,17266
2 a.m.–2:59 a.m.,68955,140,53164,38,399,401,14813
3 a.m.–3:59 a.m.,45427,126,35081,18,354,173,9675
4 a.m.–4:59 a.m.,27826,105,21073,16,255,76,6301
5 a.m.–5:59 a.m.,19706,138,14688,15,316,54,4495
6 a.m.–6:59 a.m.,23144,209,17767,17,502,71,4578
7 a.m.–7:59 a.m.,36493,458,29168,28,960,104,5775
8 a.m.–8:59 a.m.,55283,1078,43340,53,2589,157,8066
9 a.m.–9:59 a.m.,63761,1209,50792,72,2354,237,9097
 10 a.m.–10:59 a.m.,72514,1425,57904,137,2370,451,10227
 11 a.m.–11:59 a.m.,74619,1480,59123,148,2152,546,11170
Total P.M. Hours,1101865,12361,866286,1343,20527,8949,192399
Noon–12:59 p.m.,78127,1705,60389,157,3194,622,12060
1 p.m.–1:59 p.m.,81059,1505,64039,110,2360,608,12437
2 p.m.–2:59 p.m.,86785,1473,68766,175,2523,655,13193
3 p.m.–3:59 p.m.,90228,1464,71633,133,2272,663,14063
4 p.m.–4:59 p.m.,89370,1323,70578,126,1866,799,14678
5 p.m.–5:59 p.m.,82812,1091,64695,106,1566,773,14581
6 p.m.–6:59 p.m.,84230,1007,65601,132,1422,859,15209
7 p.m.–7:59 p.m.,91365,826,71609,109,1229,783,16809
8 p.m.–8:59 p.m.,97614,719,76348,86,1215,959,18287
9 p.m.–9:59 p.m.,102770,525,80315,85,1129,760,19956
 10 p.m.–10:59 p.m.,108871,401,85723,67,977,782,20921
 11 p.m.–11:59 p.m.,108634,322,86590,57,774,686,20205
Unknown Time of Day,25310,245,21134,98,774,64,2995
