Time of Day,Total Incidents,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism,Embezzlement,Extortion/Blackmail,Fraud Offenses,Larceny/Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses
Total,7849624,30166,652,672139,147573,1497908,32481,20298,843491,3618452,721157,149862,115445
Total A.M. Hours,3222185,14740,264,320642,64950,645310,14055,8172,374019,1366563,307674,57612,48184
Midnight–12:59 a.m.,669628,2336,76,56981,18829,120163,3978,2131,112417,281846,53317,10032,7522
1 a.m.–1:59 a.m.,182610,1450,19,21014,1751,48288,288,481,9898,68069,20860,6264,4228
2 a.m.–2:59 a.m.,165874,1435,23,22230,1252,43416,231,379,7247,61276,18905,5843,3637
3 a.m.–3:59 a.m.,151263,1385,9,23467,931,37638,230,283,6095,56243,17296,4823,2863
4 a.m.–4:59 a.m.,133452,1286,11,21932,679,31673,207,215,5283,49727,16319,3944,2176
5 a.m.–5:59 a.m.,130620,1081,9,18813,882,30032,205,195,6542,49162,18439,3544,1716
6 a.m.–6:59 a.m.,157921,980,8,18458,1461,34615,401,246,10637,62656,23182,3134,2143
7 a.m.–7:59 a.m.,211403,917,7,21837,2415,47387,599,388,14940,89737,27114,2919,3143
8 a.m.–8:59 a.m.,361330,917,19,32079,9986,66462,2158,1003,51920,156680,32117,3315,4674
9 a.m.–9:59 a.m.,334059,991,30,28327,8549,62026,1859,903,46228,148505,27585,3918,5138
 10 a.m.–10:59 a.m.,363366,1028,21,28930,9243,63496,1970,977,51686,168597,27281,4641,5496
 11 a.m.–11:59 a.m.,360659,934,32,26574,8972,60114,1929,971,51126,174065,25259,5235,5448
Total P.M. Hours,4507726,15126,376,339920,79253,830117,17793,11903,454026,2199563,401648,91537,66464
Noon–12:59 p.m.,520008,1114,29,38836,15523,74416,3295,1631,93534,243575,35719,5983,6353
1 p.m.–1:59 p.m.,381990,1043,38,26340,9166,58918,2042,904,52902,193436,25413,5970,5818
2 p.m.–2:59 p.m.,399705,1113,29,27508,9929,61830,2100,950,53010,203551,26885,6553,6247
3 p.m.–3:59 p.m.,426051,1093,23,30637,9787,67820,2160,1006,53485,217832,29169,6857,6182
4 p.m.–4:59 p.m.,426757,1230,34,31987,8714,70324,1847,1020,48010,218862,31241,7282,6206
5 p.m.–5:59 p.m.,446851,1259,29,37225,6722,81410,1573,1077,39808,228039,36457,7338,5914
6 p.m.–6:59 p.m.,408042,1208,34,32050,4864,76660,1260,1077,31383,209160,37113,7946,5287
7 p.m.–7:59 p.m.,352372,1292,37,25006,4094,68938,981,997,24217,178099,34834,8697,5180
8 p.m.–8:59 p.m.,342330,1312,36,24653,3629,71708,781,990,20248,166362,38211,9351,5049
9 p.m.–9:59 p.m.,297241,1400,31,22816,2773,68413,702,841,15191,133640,37250,9449,4735
 10 p.m.–10:59 p.m.,283443,1553,27,22836,2244,70747,618,734,12377,119934,39068,8516,4789
 11 p.m.–11:59 p.m.,222936,1509,29,20026,1808,58933,434,676,9861,87073,30288,7595,4704
Unknown Time of Day,119713,300,12,11577,3370,22481,633,223,15446,52326,11835,713,797
