Location,Total Offenses,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations
Total,1860969,20512,1459460,2121,39871,13007,325998
Abandoned/Condemned Structure,1360,34,1173,4,4,6,139
Air/Bus/Train Terminal,13847,15,8833,2,35,14,4948
Amusement Park,659,5,476,3,9,0,166
Arena/Stadium/Fairgrounds/Coliseum,700,15,532,3,13,2,135
ATM Separate From Bank,138,1,116,0,2,0,19
Auto Dealership New/Used,969,5,771,1,4,2,186
Bank/Savings and Loan,1832,8,1532,2,5,0,285
Bar/Nightclub,5836,12,3185,48,29,102,2460
Camp/Campground,1495,18,1220,1,18,3,235
Church/Synagogue/Temple/Mosque,2783,27,2357,0,41,7,351
Commercial/Office Building,13830,155,10765,212,192,417,2089
Community Center,732,10,546,0,36,3,137
Construction Site,1942,10,1642,0,7,2,281
Convenience Store,31005,63,26191,389,61,75,4226
Cyberspace,7950,0,54,7,7732,130,27
Daycare Facility,186,8,121,0,21,1,35
Department/Discount Store,21909,99,19423,12,134,18,2223
Dock/Wharf/Freight/Modal Terminal,1235,3,1142,1,2,0,87
Drug Store/Doctor's Office/Hospital,11143,74,9990,0,93,6,980
Farm Facility,457,232,168,0,3,1,53
Field/Woods,10181,627,7047,4,25,42,2436
Gambling Facility/Casino/Race Track ,8065,15,5458,715,4,1457,416
Government/Public Building,13836,120,11124,27,1011,47,1507
Grocery/Supermarket,13052,113,11466,17,94,12,1350
Highway/Road/Alley/Street/Sidewalk,960362,1631,793924,113,423,3787,160484
Hotel/Motel/Etc.,40792,207,32202,13,262,3605,4503
Industrial Site,880,12,707,1,13,5,142
Jail/Prison/Penitentiary/Corrections Facility,20230,12,18599,0,170,12,1437
Lake/Waterway/Beach,2154,54,1809,0,9,1,281
Liquor Store,1256,4,920,2,1,4,325
Military Installation,105,1,75,0,4,0,25
Park/Playground,21274,280,17513,5,96,60,3320
Parking/Drop Lot/Garage,154391,1187,128804,21,222,548,23609
Rental Storage Facility,2378,36,1948,0,30,13,351
Residence/Home,301366,14348,191076,176,20356,1517,73893
Rest Area,521,7,426,0,10,4,74
Restaurant,12321,66,9696,31,140,39,2349
School/College,7297,4,5644,0,375,9,1265
School–College/University,8762,14,7248,4,354,5,1137
School–Elementary/Secondary,60286,20,46289,2,3520,28,10427
Service/Gas Station,26502,39,22362,47,53,71,3930
Shelter–Mission/Homeless,1097,27,951,0,13,5,101
Shopping Mall,3682,30,2888,21,36,32,675
Specialty Store ,11274,90,7642,42,104,184,3212
Tribal Lands,1290,13,1030,5,6,1,235
Other/Unknown,57607,761,42375,190,4099,730,9452
