"Years","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Arrests (People)",,"10458260","10856260","12147490","11714490","11585560","11958260","12487600","12725150","13826100","14357170","14217170","14230290","14093530","14050410","14662960","15131630","15172910","15290920","14533620","14053000","13985979","13703209","13750337","13646642","13941625","14097950","14382852","14211541","14007265","13689216","13122113","12410323","12198491","11303198","11207143","10797088","10662252","10554985","10310960","10085207"
"    By race",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        White (People)",,"7743889","7922506","8749550","8469965","8394958","8572862","8883913","8898156","9555392","9852937","9925854","9846222","9529394","9446729","9918029","10214118","10352677","10366712","9901244","9656650","9636943","9441934","9645878","9565828","9823752","9873670","10071398","9932687","9754700","9504857","9122011","8596606","8418616","7809933","7771915","5753212","5858330","5626140","5319654","4729290"
"        Black or African American (People)",,"2529059","2759103","3208878","3058203","3001863","3172734","3391961","3589795","4009328","4275546","4023754","4099840","4273293","4313209","4432474","4582105","4451274","4561174","4293862","4066837","4023525","3945300","3759528","3741338","3780801","3883795","3969067","3932107","3906175","3831588","3655619","3474965","3421356","3173889","3115383","2197140","2263112","2221697","2115381","1815144"
"        American Indian and Alaska Native (People)",,"124603","109516","118435","113005","118101","132550","131284","147094","152694","149540","154410","158508","159175","159818","164192","177833","198526","195103","174763","182529","178535","166625","182136","181041","180494","188536","184471","186943","184349","190530","186116","187827","177117","176937","173728","174020","171185","196908","164430","164852"
"        Asian or Pacific Islander (People)",,"60709","65136","70627","73317","70639","80113","80442","90105","108686","79146","113153","125719","131668","130654","148265","157575","170433","167932","163751","146983","146976","149350","162795","158434","156578","151948","157917","159804","162041","162241","158367","150925","181401","142439","146117","124337","128854","118104","111435","107689"
"    By offense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Drug abuse violations  (People)",,"580900","559900","676000","661400","708400","811400","824100","937400","1155200","1361700","1089500","1010000","1066400","1126300","1351400","1476100","1506200","1583600","1559100","1532200","1579566","1586902","1538813","1678192","1746570","1846351","1889810","1841182","1702537","1663582","1638846","1531251","1552432","1501043","1561231","1488707","1572579","1632921","1654282","1558862"
"            By drug abuse violation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Sale and manufacturing (People)",,"129725","113685","138691","146781","159762","192972","209009","242051","326271","436624","347915","359426","335968","330680","353873","364083","368503","352038","348965","328144","327157","325604","308615","341290","326397","343698","336780","326958","304989","310505","302312","281173","277802","269271","265903","239682",,"238406",,
"                Possession (People)",,"451175","446214","537309","514619","548638","618428","615091","695349","828929","925076","741585","650574","730432","795618","997527","1112017","1137697","1231562","1210135","1204056","1252409","1261298","1230198","1336902","1420173","1502653","1553030","1514224","1397548","1353077","1336532","1250078","1274630","1231772","1295328","1249025",,"1394515",,
"        Driving under the influence (People)",,"1426700","1531400","1778400","1921100","1779400","1788400","1793300","1727200","1792500","1736200","1810800","1771400","1624500","1524800","1384600","1436000","1467300","1477300","1402800","1511300","1471289","1434852","1461746","1448148","1433382","1371919","1460498","1427494","1483396","1440409","1412223","1215077","1282957","1166824","1117852","1089171","1017808","990678","1001329","1024508"
"        Larceny or theft (People)",,"1191900","1261600","1368100","1315000","1291700","1348400","1400200","1469200","1571200","1604400","1554800","1588300","1504500","1476300","1514500","1530200","1486300","1472600","1307100","1189400","1166362","1160821","1160085","1145074","1185619","1146696","1081157","1172762","1266706","1334933","1271410","1264986","1282352","1231580","1238190","1160390","1050058","950357","887622","813073"
"        Assault (People)",,"766070","777470","856550","846330","827860","942990","1062770","1139650","1318100","1437900","1489430","1522100","1581910","1663570","1771360","1858880","1850570","1930720","1845430","1777930","1790586","1793616","1760972","1696631","1722891","1750689","1753705","1739638","1728311","1740673","1700937","1639429","1587838","1456601","1465943","1457173","1462785","1451297","1459335","1410989"
"            By assault type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Aggravated assault (People)",,"277470","283270","313150","298830","300860","305390","351770","352450","416300","459000","475330","480900","507210","518670","547760","568480","521570","534920","506630","483530","478417","477809","472290","449933","438033","449297","447948","433945","429969","421215","408488","397707","388362","358860","372685","376154","383977","388927","395800","385278"
"                Other assaults (People)",,"488600","494200","543400","547500","527000","637600","711000","787200","901800","978900","1014100","1041200","1074700","1144900","1223600","1290400","1329000","1395800","1338800","1294400","1312169","1315807","1288682","1246698","1284858","1301392","1305757","1305693","1298342","1319458","1292449","1241722","1199476","1097741","1093258","1081019","1078808","1062370","1063535","1025711"
"        Disorderly conduct (People)",,"769700","787100","895500","757400","665900","671700","676400","698700","760500","776600","733000","757700","753100","727000","746200","748600","842600","811100","696100","633100","638740","621394","669938","639371","657637","678231","703504","709105","685985","655322","615172","582158","543995","467993","436014","386078","369733","353151","329152","310331"
"        Drunkenness (People)",,"1125800","1155400","1262100","1115200","1152300","964800","933900","828300","818600","822500","910100","881100","832300","726600","713200","708100","718700","734800","710300","656100","637554","618668","572735","548616","552671","556167","553188","589402","611069","594300","560718","534218","511271","443527","414854","405880","376433","366824","328772","316032"
"        Liquor laws (People)",,"463500","483500","501200","498300","505500","548600","600200","616700","669600","657300","714700","624100","541700","518500","541800","594900","677400","636400","630400","657900","683124","610591","653819","612079","612528","597838","645734","633654","625939","570333","512790","500648","441532","354872","321125","266250","234899","207332","173152","175548"
"        Burglary (People)",,"513300","518900","527100","475800","433600","443300","450600","443400","463400","468900","432600","436500","424000","402700","396100","386500","364800","356000","330700","296100","289844","291444","288291","290956","294645","298835","304801","303853","308479","299351","289769","296707","283582","252629","237974","216010","207325","199266","178611","171590"
"        Vandalism (People)",,"250500","242600","245700","243500","245900","259600","259600","273500","295300","307800","326000","335100","323100","313000","323300","311100","320900","318400","300200","278200","281305","270645","276697","273431","272522","279562","300679","291575","285012","270439","252753","237638","228463","201168","198400","191015","195951","188350","179828","180501"
"        Fraud (People)",,"291500","295100","334400","309800","270700","342600","349300","341900","366300","376600","291600","427800","424200","410700","419800","436400","465000","414600","394600","363800","345732","323308","337404","299138","282938","321521","280693","252873","234199","210255","187887","168217","153535","143528","141293","133138","128531","124232","119951","112707"
"        Carrying or possessing weapons (People)",,"166700","179700","193500","179600","177500","180900","190500","191700","221800","225200","221200","232300","239300","262300","259400","243900","216200","218900","190600","172400","159181","165896","164446","167972","175776","193469","200782","188891","179661","166334","159020","153519","149286","137779","140713","145358","156777","164984","168403","153161"
"        Offenses against the family and children (People)",,"55400","56500","58700","56300","44300","58800","58400","58700","69900","74200","85800","99400","109200","109100","117200","142900","149800","155800","146400","151200","147663","143683","140286","136034","124936","129128","131491","122812","118419","114564","111062","116723","107018","101247","102336","94837","88748","94062","87475","85687"
"        Robbery (People)",,"146270","153890","157630","146170","138630","136870","145800","138290","149100","165060","167990","173820","173310","173620","172290","171870","156270","132450","120870","108850","106130","108400","105774","107553","108992","114616","125605","126715","129403","126725","112300","106674","103661","94406","94403","95572","95754","94046","88128","74547"
"        Buying, receiving, or possessing stolen property (People)",,"123200","129500","137500","127700","123100","127100","135800","139300","166300","176800","165200","170000","161500","158100","164700","166500","151100","155300","137900","121900","118641","121972","126422","126775","128529","133856","122722","122061","111319","105303","94802","93234","97670","92691","88946","88576","93981","98660","93161","88272"
"        Curfew and loitering law violations (People)",,"70700","94800","91100","75000","86600","81500","86200","89500","72200","77400","80800","93400","91100","100200","128400","149800","185100","182700","187800","167200","154711","142889","141252","136461","137398","140835","152907","143002","133063","112593","94797","76942","70190","56371","53654","44802","34176","30131","22031","14653"
